"행정구역","2023년10월_총인구수","2023년10월_세대수","2023년10월_세대당 인구","2023년10월_남자 인구수","2023년10월_여자 인구수","2023년10월_남여 비율"
"서울특별시 성북구 길음제2동(1129068500)","21,755","8,700","          2.50","10,389","11,366","          0.91"
"서울특별시 성북구 종암동(1129070500)","37,794","17,084","          2.21","18,669","19,125","          0.98"
"서울특별시 성북구 월곡제1동(1129071500)","25,639","10,773","          2.38","12,369","13,270","          0.93"
"서울특별시 성북구 월곡제2동(1129072500)","18,981","9,684","          1.96","9,018","9,963","          0.91"
"서울특별시 성북구 장위제1동(1129076000)","23,440","10,613","          2.21","11,371","12,069","          0.94"
"서울특별시 성북구 장위제2동(1129077000)","13,208","6,637","          1.99","6,467","6,741","          0.96"
"서울특별시 성북구 장위제3동(1129078000)","15,567","6,480","          2.40","7,633","7,934","          0.96"
"서울특별시 성북구 석관동(1129081000)","33,911","16,640","          2.04","16,752","17,159","          0.98"
"서울특별시 강북구 (1130500000)","289,372","143,963","          2.01","140,185","149,187","          0.94"
"서울특별시 강북구 삼양동(1130553400)","22,493","10,820","          2.08","11,198","11,295","          0.99"
"서울특별시 강북구 미아동(1130553500)","20,929","11,678","          1.79","10,033","10,896","          0.92"
"서울특별시 강북구 송중동(1130554500)","28,704","13,864","          2.07","13,821","14,883","          0.93"
"서울특별시 강북구 송천동(1130555500)","24,872","13,088","          1.90","12,345","12,527","          0.99"
"서울특별시 강북구 삼각산동(1130557500)","30,646","11,527","          2.66","14,696","15,950","          0.92"
"서울특별시 강북구 번1동(1130559500)","17,718","10,330","          1.72","8,836","8,882","          0.99"
"서울특별시 강북구 번2동(1130560300)","14,915","7,418","          2.01","7,145","7,770","          0.92"
"서울특별시 강북구 번3동(1130560800)","16,377","7,666","          2.14","7,632","8,745","          0.87"
"서울특별시 강북구 수유1동(1130561500)","19,966","10,445","          1.91","9,782","10,184","          0.96"
"서울특별시 강북구 수유2동(1130562500)","20,626","9,801","          2.10","9,776","10,850","          0.90"
"서울특별시 강북구 수유3동(1130563500)","23,041","13,562","          1.70","11,310","11,731","          0.96"
"서울특별시 강북구 우이동(1130564500)","19,895","9,563","          2.08","9,524","10,371","          0.92"
"서울특별시 강북구 인수동(1130566000)","29,190","14,201","          2.06","14,087","15,103","          0.93"
"서울특별시 도봉구 (1132000000)","307,470","138,223","          2.22","149,132","158,338","          0.94"
"서울특별시 도봉구 창제1동(1132051100)","24,089","10,979","          2.19","11,481","12,608","          0.91"
"서울특별시 도봉구 창제2동(1132051200)","28,214","12,527","          2.25","13,691","14,523","          0.94"
"서울특별시 도봉구 창제3동(1132051300)","13,259","6,416","          2.07","6,600","6,659","          0.99"
"서울특별시 도봉구 창제4동(1132051400)","26,101","10,866","          2.40","12,498","13,603","          0.92"
"서울특별시 도봉구 창제5동(1132051500)","23,928","10,247","          2.34","11,427","12,501","          0.91"
"서울특별시 도봉구 도봉제1동(1132052100)","20,121","10,250","          1.96","10,050","10,071","          1.00"
"서울특별시 도봉구 도봉제2동(1132052200)","25,965","11,747","          2.21","12,674","13,291","          0.95"
"서울특별시 도봉구 쌍문제1동(1132066000)","20,679","9,416","          2.20","9,869","10,810","          0.91"
"서울특별시 도봉구 쌍문제2동(1132067000)","17,949","8,461","          2.12","8,547","9,402","          0.91"
"서울특별시 도봉구 쌍문제3동(1132068000)","16,503","8,209","          2.01","7,916","8,587","          0.92"
"서울특별시 도봉구 쌍문제4동(1132068100)","18,117","7,093","          2.55","8,558","9,559","          0.90"
"서울특별시 도봉구 방학제1동(1132069000)","27,725","12,902","          2.15","13,733","13,992","          0.98"
"서울특별시 도봉구 방학제2동(1132070000)","18,649","9,168","          2.03","9,430","9,219","          1.02"
"서울특별시 도봉구 방학제3동(1132071000)","26,171","9,942","          2.63","12,658","13,513","          0.94"
"서울특별시 노원구 (1135000000)","499,553","218,280","          2.29","239,787","259,766","          0.92"
"서울특별시 노원구 월계1동(1135056000)","20,623","10,009","          2.06","10,566","10,057","          1.05"
"서울특별시 노원구 월계2동(1135057000)","25,586","11,720","          2.18","12,276","13,310","          0.92"
"서울특별시 노원구 월계3동(1135058000)","28,762","12,867","          2.24","13,759","15,003","          0.92"
"서울특별시 노원구 공릉1동(1135059500)","36,041","18,581","          1.94","17,429","18,612","          0.94"
"서울특별시 노원구 공릉2동(1135060000)","41,668","17,848","          2.33","20,242","21,426","          0.94"
